Regione,Dotazione riscaldamento,Dotazione acqua calda,Dotazione condizionamento,Riscaldamento e acqua calda coincidenti,Riscaldamento e condizionamento coincidenti,Piu tipi di dotazioni per il riscaldamento,Piu tipi di dotazioni per acqua calda,Piu tipi di dotazioni per il condizionamento
Piemonte,99.3,99.8,28.8,65.7,17.0,33.6,4.9,4.9
Valle Aosta,99.7,99.6,4.7,65.9,2.5,35.9,6.6,0.0
Liguria,98.8,99.7,30.0,72.8,18.8,31.8,4.3,4.8
Lombardia,99.8,99.9,50.4,71.8,28.5,38.3,4.4,7.8
Trentino-Alto Adige,99.5,99.6,15.2,84.1,7.6,39.9,6.6,2.1
Bolzano,99.4,99.3,14.4,82.2,6.9,37.6,8.0,2.1
Trento,99.5,99.9,15.9,85.9,8.3,42.0,5.3,2.1
Veneto,99.5,99.8,70.0,86.5,39.7,50.9,3.6,10.9
Friuli-Venezia Giulia,99.8,99.9,50.9,83.2,33.7,53.8,4.6,8.2
Emilia-Romagna,99.7,99.9,60.3,87.3,33.6,44.9,3.6,11.2
Toscana,99.4,99.9,40.2,82.8,25.0,42.6,3.8,6.6
Umbria,99.9,99.8,26.7,84.8,18.1,51.6,6.3,5.6
Marche,99.4,99.9,33.9,92.8,21.8,40.5,2.7,6.6
Lazio,99.5,99.7,51.9,66.5,39.5,49.2,4.9,8.5
Abruzzo,99.5,99.8,31.2,87.5,19.8,44.2,3.7,4.3
Molise,99.0,99.5,20.1,80.5,12.8,36.7,4.6,2.9
Campania,95.7,98.0,46.1,60.2,36.9,47.4,5.3,9.1
Puglia,98.7,99.7,57.3,74.5,41.8,48.4,5.1,9.2
Basilicata,99.5,99.6,24.6,78.0,17.4,36.3,6.3,4.6
Calabria,98.4,99.0,43.9,56.2,35.8,47.7,8.3,7.0
Sicilia,93.6,99.6,62.4,46.9,50.9,48.6,6.5,12.8
Sardegna,97.5,99.7,59.9,25.6,54.7,65.3,11.4,12.4
