Regione;Metano;Energia elettrica;GPL;Biomasse;Gasolio;Energia Solare
Piemonte;74,1;12,7;3,7;5,5;1,9;2,1
Valle Aosta;32,0;24,6;14,7;10,8;15,0;2,9
Liguria;76,2;11,5;5,6;5,5;0,0;0,0
Lombardia;80,5;11,9;1,8;2,7;1,3;1,8
Trentino-Alto Adige;54,7;7,8;4,9;16,6;11,1;4,9
Bolzano;44,3;9,9;4,0;26,3;10,4;5,1
Trento;63,9;6,0;5,7;8,1;11,7;4,7
Veneto;78,5;6,6;5,3;5,0;3,5;1,3
Friuli-Venezia Giulia;72,6;10,3;4,9;6,0;4,6;1,7
Emilia-Romagna;82,8;8,2;3,8;3,2;0,9;1,0
Toscana;77,6;9,8;4,9;5,2;1,4;1,0
Umbria;70,3;7,0;8,9;11,6;1,2;0,9
Marche;82,5;6,7;4,3;4,1;1,3;1,1
Lazio;67,5;18,1;6,9;5,6;0,0;1,6
Abruzzo;79,5;5,7;3,3;10,0;0,0;1,1
Molise;68,8;9,3;6,3;14,8;0,0;0,0
Campania;55,4;19,3;16,5;7,7;0,6;0,6
Puglia;72,0;20,2;2,6;3,3;0,5;1,3
Basilicata;64,7;14,1;3,3;16,9;0,0;0,7
Calabria;45,0;26,6;10,2;16,7;0,0;1,5
Sicilia;47,1;39,5;8,7;3,3;0,0;1,2
Sardegna;7,6;50,0;28,9;6,7;5,3;1,5
