Regione;Giornalmente;Spesso;Raramente;Occasionalmente o Mai
Piemonte;22,8;36,8;12,6;27,7
Valle Aosta;22,0;13,8;20,8;43,5
Liguria;24,1;30,6;10,6;34,8
Lombardia;28,8;36,1;13,0;22,1
Trentino-Alto Adige;23,9;33,7;9,6;32,8
Bolzano;22,9;36,8;12,1;28,2
Trento;24,8;31,0;7,4;36,8
Veneto;32,7;38,9;11,1;17,2
Friuli-Venezia Giulia;23,5;37,1;12,9;26,4
Emilia-Romagna;28,2;35,2;11,7;24,9
Toscana;30,2;32,3;12,6;24,9
Umbria;27,2;35,5;13,4;23,8
Marche;23,4;34,0;13,1;29,5
Lazio;28,6;35,0;13,7;22,7
Abruzzo;26,0;32,3;16,7;24,9
Molise;18,0;31,8;13,2;37,0
Campania;27,5;34,0;11,7;26,8
Puglia;30,1;33,7;10,4;25,8
Basilicata;25,3;32,0;12,9;29,8
Calabria;25,5;34,9;12,0;27,6
Sicilia;28,1;36,0;10,3;25,6
Sardegna;32,0;31,9;12,0;24,2
