Regione,Mattina,Pomeriggio,Sera
Piemonte,3.492,4.366,1.432
Valle Aosta,3.504,4.354,2.132
Liguria,2.51,4.09,1.27
Lombardia,3.402,4.407,1.45
Trentino-Alto Adige,3.318,4.132,1.408
Bolzano,3.402,4.168,1.336
Trento,3.246,4.096,1.468
Veneto,3.264,4.438,2.078
Friuli-Venezia Giulia,3.042,4.306,1.432
Emilia-Romagna,3.492,4.558,2.179
Toscana,2.191,3.474,1.414
Umbria,2.191,4.024,1.3
Marche,2.203,4.012,1.318
Lazio,1.318,3.582,1.138
Abruzzo,2.366,4.096,1.462
Molise,3.012,4.276,1.432
Campania,1.246,3.3,1.228
Puglia,1.18,3.078,1.144
Basilicata,2.414,4.144,1.3
Calabria,1.516,4.192,1.222
Sicilia,1.077,3.12,1.186
Sardegna,1.438,4.216,1.174
